url|idiom|sentence
https://idioms.thefreedictionary.com/at+length|at length|My father always lectures me at length about the dangers of living in the city.
https://idioms.thefreedictionary.com/at+length|at length|At length, the sermon ended.
https://idioms.thefreedictionary.com/at+length|at length|At length, the roses bloomed, and the tomatoes ripened.
https://idioms.thefreedictionary.com/at+length|at length|And at length, the wizard spoke.
https://idioms.thefreedictionary.com/at+length|at length|He spoke to us about the problem at some length.
https://idioms.thefreedictionary.com/at+length|at length|He described the history of his village at length.
https://idioms.thefreedictionary.com/at+length|at length|‘I’m not sure,’ he said at length.
https://idioms.thefreedictionary.com/at+length|at length|She talked at length about her work in hospitals.
https://idioms.thefreedictionary.com/at+length|at length|At length we arrived at our destination.
https://idioms.thefreedictionary.com/at+length|at length|spoke at length about the court ruling.
https://idioms.thefreedictionary.com/at+liberty|at liberty|I know you're curious about the case, but I'm not at liberty to talk about it.
https://idioms.thefreedictionary.com/at+liberty|at liberty|The criminal was set at liberty by the judge.
https://idioms.thefreedictionary.com/at+liberty|at liberty|You're at liberty to go anywhere you wish.
https://idioms.thefreedictionary.com/at+liberty|at liberty|I'm not at liberty to discuss the matter.
https://idioms.thefreedictionary.com/at+liberty|at liberty|You are at liberty to leave, if you wish.
https://idioms.thefreedictionary.com/at+liberty|at liberty|We found ourselves at liberty to explore the grounds.
https://idioms.thefreedictionary.com/at+lightning+speed|at lightning speed|Did you see that martial arts expert? He threw those kicks at lightning speed!
https://idioms.thefreedictionary.com/at+lightning+speed|at lightning speed|At lightning speed, Mary finished her exam and raced out of the classroom.
https://idioms.thefreedictionary.com/at+lightning+speed|at lightning speed|The lecturer talked at lightning speed.
https://idioms.thefreedictionary.com/at+lightning+speed|at lightning speed|They’re a very efficient company. They reply to your letters with lightning speed.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|They are at loggerheads over the best way to lead the committee.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|Tom is at loggerheads with Bill.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|We are at loggerheads with each other.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|The twins were at loggerheads over who should take the larger room.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|Social workers and doctors are at loggerheads over how well the new system will work.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|Trevor and his ex-wife Becky ended up at loggerheads — this time having a shouting match on the doorstep.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|The students are at loggerheads with the college over the price of food in the cafeteria.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|Management and staff are at loggerheads over the plan.
https://idioms.thefreedictionary.com/at+loggerheads|at loggerheads|The question of car privileges put Sam and his parents at loggerheads.
https://idioms.thefreedictionary.com/at+loggerheads+over+(something)|at loggerheads over (something)|They are at loggerheads over the best way to lead the committee.
https://idioms.thefreedictionary.com/at+loggerheads+with+(someone)|at loggerheads with (someone)|Ugh, I'm at loggerheads with Taylor over the best way to lead the committee.
https://idioms.thefreedictionary.com/at+loggerheads%2c+to+be|at loggerheads, to be|They are at loggerheads over the best way to lead the committee.
https://idioms.thefreedictionary.com/at+long+last|at long last|My husband returns from his trip today at last—I've missed him so much!
https://idioms.thefreedictionary.com/at+long+last|at long last|At long last, I got an A on a math test. All that studying really helped.
https://idioms.thefreedictionary.com/at+long+last|at long last|At long last the winter was over.
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends|I've been at loose ends since that fight with my mother.
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends|I hope he finds a job soon—he's been at loose ends ever since getting laid off.
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends|Just before school starts, all the children are at loose ends.
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends|Jane has been at loose ends ever since she lost her job.
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends| Tom usually works puzzles whenever he’s at loose ends.
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends|"At loose ends with family gone ... I joined some clubs thinking to find companionship and enrich my life"
https://idioms.thefreedictionary.com/at+loose+ends|at loose ends|(Ruth Daniels).
https://idioms.thefreedictionary.com/at+most|at most|The beach really isn't far away—at most, it should take us an hour to get there.
https://idioms.thefreedictionary.com/at+most|at most|I hope you're not disappointed in your dance—I only saw two mistakes at most.
https://idioms.thefreedictionary.com/at+most|at most|A: How far away is the beach? B: Ten miles at most.
https://idioms.thefreedictionary.com/at+most|at most|At the most, there were only 15 people in the audience.
https://idioms.thefreedictionary.com/at+most|at most|I’ll be away for a week, or perhaps ten days at the most.
https://idioms.thefreedictionary.com/at+most|at most|There were 50 people there at the very most.
https://idioms.thefreedictionary.com/at+most|at most|We saw him for ten minutes at the most. She ran two miles at most.
https://idioms.thefreedictionary.com/at+my%2c+your%2c+etc.+time+of+life|at my, your, etc. time of life|At your time of life, you need to go off to college and try living on your own.
https://idioms.thefreedictionary.com/at+my%2c+your%2c+etc.+time+of+life|at my, your, etc. time of life|Learn to drive at my time of life? Don’t be silly!
https://idioms.thefreedictionary.com/at+night|at night|If I stay out late at night, I'm exhausted for days afterward.
https://idioms.thefreedictionary.com/at+night|at night|Be careful going out in the city at night.
https://idioms.thefreedictionary.com/at+night|at night|Most people sleep at night.
https://idioms.thefreedictionary.com/at+night|at night|Mary studies at night.
https://idioms.thefreedictionary.com/at+no+time|at no time|At no time did I claim responsibility for the accident—he's lying about that.
https://idioms.thefreedictionary.com/at+odds|at odds|They are at odds over the best way to lead the committee.
https://idioms.thefreedictionary.com/at+odds|at odds|Mary is always at odds with her father about how late she can stay out.
https://idioms.thefreedictionary.com/at+odds|at odds|John and his father are always at odds over what to watch on TV.
https://idioms.thefreedictionary.com/at+odds|at odds|"The artist and the self-critic ... are, with a few felicitous exceptions, forever at odds"
https://idioms.thefreedictionary.com/at+odds|at odds|(Joyce Carol Oates).
https://idioms.thefreedictionary.com/at+odds+over+(something)|at odds over (something)|They are at odds over the best way to lead the committee.
https://idioms.thefreedictionary.com/at+odds+with+(oneself)|at odds with (oneself)|The country has been at odds with itself for many years due to the deep divisions within its population.
